prev_open,prev_high,prev_low,prev_close,prev_volume,close_lag_2,close_lag_3,close_lag_5,close_lag_10,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,return_1d_lag,sma_5,sma_10,sma_20,volume_sma_5,volume_sma_10,volume_sma_20,volatility_5d,volatility_20d,d,close
211.47,216.73,207.32,214.86,18.66,210.34,199.26,209.84,274.8,30.09,23.47,81.77,15.26,0.021489017780736086,208.48000000000002,225.462,258.9065,38.482000000000006,41.523,33.2265,5.72639502654127,43.02055680901743,2015-01-20 00:00:00,211.32
212.91,215.24,205.15,211.32,24.05,214.86,210.34,208.1,265.66,18.66,30.09,38.42,18.2,-0.016475844736107303,208.776,219.11400000000003,253.46300000000002,26.938,42.402,33.732,5.851160568639063,41.72640942086793,2015-01-21 00:00:00,226.9
211.38,227.79,211.21,226.9,29.92,211.32,214.86,199.26,267.8,24.05,18.66,23.47,18.88,0.07372704902517513,212.536,215.238,249.09550000000004,25.238,43.574,34.826,9.928226427715936,39.543316751846234,2015-01-22 00:00:00,233.41
227.32,237.02,226.43,233.41,33.54,226.9,211.32,210.34,225.86,29.92,24.05,30.09,72.84,0.028691053327456917,219.36599999999999,211.79900000000004,245.0145,27.252,45.040000000000006,36.11,10.253120500608482,36.47305385667041,2015-01-23 00:00:00,232.88
233.52,234.85,225.2,232.88,24.62,233.41,226.9,214.86,178.1,33.54,29.92,18.66,97.64,-0.0022706824900390332,223.87400000000002,212.50099999999998,242.6045,26.157999999999998,40.218,35.6885,10.247623139050265,35.54519235757268,2015-01-24 00:00:00,247.85
232.7,248.21,230.02,247.85,24.78,232.88,233.41,211.32,209.84,24.62,33.54,24.05,81.77,0.06428203366540708,230.47199999999998,219.47600000000003,241.78699999999998,27.381999999999998,32.932,34.146,13.19074941009794,35.20880333995435,2015-01-25 00:00:00,253.72
247.35,255.07,243.89,253.72,33.58,247.85,232.88,226.9,208.1,24.78,24.62,29.92,38.42,0.023683679644946665,238.952,223.86399999999998,240.74949999999998,29.288,28.113,33.626999999999995,11.2927175648734,34.4934980104947,2015-01-26 00:00:00,273.47
254.08,309.38,254.08,273.47,106.79,253.72,247.85,233.41,199.26,33.58,24.78,33.54,23.47,0.07784171527668304,248.266,230.401,240.11350000000002,44.662,34.95,37.804,16.752541001292972,33.72015550238855,2015-01-27 00:00:00,263.48
273.17,275.48,250.65,263.48,44.4,273.47,253.72,232.88,210.34,106.79,33.58,24.62,30.09,-0.0365305152301898,254.28000000000003,236.82300000000004,238.57049999999998,46.833999999999996,37.043,38.7805,15.431417627684223,31.75713089834689,2015-01-28 00:00:00,233.91
263.35,266.54,227.05,233.91,44.35,263.48,273.47,247.85,214.86,44.4,106.79,24.78,18.66,-0.11222863215424328,254.48600000000002,239.18,236.09849999999997,50.78000000000001,38.469,39.999,15.077129368682995,29.96146020526338,2015-01-29 00:00:00,233.51
233.35,238.71,220.71,233.51,32.21,233.91,263.48,253.72,211.32,44.35,44.4,33.58,24.05,-0.0017100594245650358,251.618,241.045,233.25349999999997,52.266000000000005,39.824,40.673500000000004,17.777150221562582,27.097459246792514,2015-01-30 00:00:00,226.43
232.77,242.85,225.84,226.43,26.61,233.51,233.91,273.47,226.9,32.21,44.35,106.79,29.92,-0.03031990064665313,246.16,242.55600000000004,230.83499999999998,50.872,40.08,41.241,20.887654248383203,25.29264434365729,2015-01-31 00:00:00,217.46
226.44,233.5,216.31,217.46,23.35,226.43,233.51,263.48,233.41,26.61,32.21,44.4,33.54,-0.03961489201960866,234.958,241.61200000000002,228.425,34.184,39.423,41.4985,17.2887700545758,24.066341750734786,2015-02-01 00:00:00,226.97
216.87,231.57,212.01,226.97,29.13,217.46,226.43,233.91,232.88,23.35,26.61,44.35,24.62,0.04373218063092055,227.656,240.968,226.3835,31.130000000000003,38.982,42.011,6.6954073811826,22.21066511836155,2015-02-02 00:00:00,238.23
226.49,242.18,222.66,238.23,30.61,226.97,217.46,233.51,247.85,29.13,23.35,32.21,24.78,0.04961008062739558,228.51999999999998,241.50300000000001,227.002,28.381999999999998,39.581,39.8995,7.878426238786187,22.367003328446554,2015-02-03 00:00:00,227.27
237.45,245.96,224.48,227.27,40.78,238.23,226.97,226.43,253.72,30.61,29.13,26.61,33.58,-0.04600596062628548,227.27200000000002,239.445,229.4605,30.095999999999997,41.181,37.0565,7.368060803223212,19.184911416335336,2015-02-04 00:00:00,226.85
227.51,230.06,221.11,226.85,26.59,227.27,238.23,217.46,273.47,40.78,30.61,23.35,106.79,-0.0018480221762662286,227.356,236.75799999999998,230.311,30.092000000000002,40.482000000000006,34.2975,7.358449564955536,18.63858389131767,2015-02-05 00:00:00,217.11
227.66,239.4,214.73,217.11,22.52,226.85,227.27,226.97,263.48,26.59,40.78,29.13,44.4,-0.042935860700903605,227.28599999999997,231.12199999999999,230.76149999999998,29.926,32.055,33.5025,7.476836229314795,18.17664530307192,2015-02-06 00:00:00,222.27
216.92,230.51,216.23,222.27,24.44,217.11,226.85,238.23,233.91,22.52,26.59,30.61,44.35,0.0237667541799087,226.346,227.00100000000003,231.91199999999998,28.988,30.058999999999997,33.551,7.81432530676795,16.750029567923693,2015-02-07 00:00:00,227.75
222.63,230.3,222.61,227.75,21.6,222.27,217.11,227.27,233.51,24.44,22.52,40.78,32.21,0.024654699239663458,224.25,226.385,232.78249999999997,27.186,27.784000000000002,33.1265,4.556050921575998,16.00579167380562,2015-02-08 00:00:00,223.41
227.69,229.44,221.08,223.41,17.15,227.75,222.27,226.85,226.43,21.6,24.44,26.59,26.61,-0.019055982436882557,223.478,225.375,233.20999999999998,22.46,26.278000000000002,33.051,4.231893193358412,15.611221672414539,2015-02-09 00:00:00,220.11
223.39,223.98,217.02,220.11,27.79,223.41,227.75,217.11,217.46,17.15,21.6,22.52,23.35,-0.01477104874446078,222.13000000000002,224.74300000000002,233.64950000000005,22.7,26.395999999999997,33.238,3.9535806555567987,15.077116321729086,2015-02-10 00:00:00,219.84
220.28,221.81,215.33,219.84,21.12,220.11,223.41,222.27,226.97,27.79,17.15,24.44,29.13,-0.001226659397573937,222.67600000000002,224.981,233.29649999999998,22.419999999999998,26.173000000000002,32.798,3.2045405286863016,15.324084337717405,2015-02-11 00:00:00,219.18
219.73,223.41,218.07,219.18,17.2,219.84,220.11,227.75,238.23,21.12,27.79,21.6,30.61,-0.003002183406113468,222.058,224.202,232.58499999999998,20.972,24.98,31.981,3.5785429996009395,15.645516761578836,2015-02-12 00:00:00,221.76
219.21,222.2,217.61,221.76,15.21,219.18,219.84,223.41,227.27,17.2,21.12,17.15,40.78,0.011771147002463733,220.85999999999999,222.555,232.029,19.694,23.439999999999998,31.5105,1.7130236425667116,15.83096994734329,2015-02-13 00:00:00,235.43
221.97,240.26,221.26,235.43,42.74,221.76,219.18,220.11,226.85,15.21,17.2,27.79,26.59,0.06164321789321803,223.26399999999998,223.371,231.40800000000004,24.812,23.636000000000003,32.4085,6.867024828846421,15.415853971941116,2015-02-14 00:00:00,257.32
235.53,259.81,235.53,257.32,49.73,235.43,221.76,219.84,217.11,42.74,15.21,21.12,22.52,0.09297880474026243,230.70600000000005,226.41800000000003,231.58800000000002,29.2,25.95,33.216,16.290877201673183,15.708329872027239,2015-02-15 00:00:00,234.82
257.51,265.61,227.68,234.82,56.55,257.32,235.43,219.18,222.27,49.73,42.74,17.2,24.44,-0.0874397637183274,233.702,228.189,229.6555,36.285999999999994,29.352999999999998,30.703999999999997,15.128992696144572,12.290205117983477,2015-02-16 00:00:00,233.84
234.82,239.52,229.02,233.84,28.15,234.82,257.32,221.76,227.75,56.55,49.73,15.21,21.6,-0.004173409419981233,236.63400000000001,229.346,228.17350000000002,38.476,29.724,29.891499999999997,12.861698177145842,9.457440554510887,2015-02-17 00:00:00,243.61
233.42,245.77,232.31,243.61,27.36,233.84,234.82,235.43,223.41,28.15,56.55,42.74,17.15,0.04178070475538842,241.004,230.93200000000002,228.6585,40.90599999999999,30.3,29.041999999999994,9.920147680352228,10.00024751009493,2015-02-18 00:00:00,236.33
243.78,244.25,232.34,236.33,25.2,243.61,233.84,257.32,220.11,27.36,28.15,49.73,27.79,-0.029883830713024917,241.18400000000003,232.22400000000002,228.7995,37.397999999999996,31.105,28.6915,9.801174929568276,10.091714410190374,2015-02-19 00:00:00,240.28
236.41,242.67,235.59,240.28,18.27,236.33,243.61,234.82,219.84,25.2,27.36,56.55,21.12,0.016713916980493293,237.776,234.24100000000004,229.49200000000002,31.105999999999995,30.153,28.2745,4.081253483918487,10.391310945106817,2015-02-20 00:00:00,243.78
240.25,247.1,239.3,243.78,23.88,240.28,236.33,233.84,219.18,18.27,25.2,28.15,17.2,0.014566339270850603,239.56800000000004,236.635,230.808,24.572,30.428999999999995,28.301,4.412490226617758,10.453778767810126,2015-02-21 00:00:00,244.53
243.75,255.32,243.18,244.53,12.28,243.78,240.28,243.61,221.76,23.88,18.27,27.36,15.21,0.003076544425301586,241.706,239.17000000000002,231.68599999999998,21.398,29.937,27.458499999999997,3.4218606049922253,10.844580698501803,2015-02-22 00:00:00,235.98
244.54,246.39,233.85,235.98,19.53,244.53,243.78,236.33,235.43,12.28,23.88,25.2,42.74,-0.034965034965035,240.18,240.592,231.57350000000002,19.832,30.369,26.904499999999995,4.011078408607513,10.784626131186734,2015-02-23 00:00:00,238.89
235.99,240.11,232.42,238.89,16.4,235.98,244.53,240.28,257.32,19.53,12.28,18.27,49.73,0.012331553521484961,240.692,240.93800000000002,232.15449999999996,18.071999999999996,27.734999999999996,25.6855,3.531496849778795,10.853364491689929,2015-02-24 00:00:00,238.74
239.0,239.9,236.4,238.74,14.2,238.89,235.98,243.78,234.82,16.4,19.53,23.88,56.55,-0.0006279040562601201,240.38400000000001,239.07999999999998,232.74900000000002,17.258,24.182,25.066,3.641844312981744,10.873137783692435,2015-02-25 00:00:00,237.47
238.89,239.34,235.53,237.47,11.5,238.74,238.89,244.53,233.84,14.2,16.4,12.28,28.15,-0.005319594537991135,239.122,239.34500000000003,233.767,14.782,19.677,24.515,3.242201412620315,10.2681429161933,2015-02-26 00:00:00,236.43
