UNRATE,volatility_20d,return_5d,volatility_5d,prev_volume,return_1d,volume_ratio,d,target_return,close
5.2,14.74576523509124,-0.05872282143468599,5.314296754982405,25.19,-0.016352381293162188,0.6455746485731494,2015-07-19 00:00:00,-0.046087496802017514,273.61
5.2,14.183296291208716,-0.04818061643359062,4.786386946331743,15.33,-0.004692615496544095,0.40290152172199006,2015-07-20 00:00:00,-0.0498243601691879,278.98
5.2,13.917386125955971,-0.023965294055907194,2.6034112237628126,22.71,0.019626475640510233,0.6144813031008172,2015-07-21 00:00:00,-0.041184787731573635,275.83
5.2,13.312657016618045,-0.008126865403286665,2.564930798289488,22.93,-0.011291131980787239,0.623894648055941,2015-07-22 00:00:00,-0.02463747204386424,277.22
5.2,12.330043528757594,-0.008050953590725274,2.0773468655989187,19.39,0.005039335822789592,0.5291308500477556,2015-07-23 00:00:00,-0.03502988589023737,276.05
5.2,11.26306675073815,0.004183339396144126,1.9711088250052962,18.53,-0.004220474713224176,0.5060076460950301,2015-07-24 00:00:00,-0.08394616345219919,288.28
5.2,10.614583054508397,0.053616461386645,5.188175980054555,37.2,0.044303568194167475,0.9867635746306269,2015-07-25 00:00:00,-0.07973675095254584,288.7
5.2,10.589139918356473,0.03484120725500017,6.662861997671555,20.66,0.0014569168863605153,0.5656554594239405,2015-07-26 00:00:00,-0.10639242884963607,292.69
5.2,10.499207037727034,0.06112460573541689,7.472728417386603,16.03,0.013820574991340484,0.45973385338992784,2015-07-27 00:00:00,-0.11957632313875077,293.62
5.2,10.080966575942378,0.059158790852030796,7.015416594901489,30.59,0.0031774232122723234,0.8751376789826774,2015-07-28 00:00:00,-0.12379852596542473,294.43
5.2,9.885987677942216,0.06658214091650061,2.8589386142450577,25.45,0.0027586676656903286,0.7402990284484263,2015-07-29 00:00:00,-0.2711074277426706,289.59
5.2,9.228445312984263,0.004544193145552988,2.5256345737302532,24.67,-0.016438542268111367,0.7343026803387258,2015-07-30 00:00:00,-0.21215070207145836,287.72
5.2,9.23571756537481,-0.003394527190855423,2.844793489872584,21.64,-0.006457405297144003,0.7296267574766513,2015-07-31 00:00:00,-0.17319515194098012,284.65
5.1,9.081774461437885,-0.027469336157709634,4.084062928019188,23.63,-0.010670095926595513,0.8209136703143999,2015-08-01 00:00:00,-0.17411221590909098,281.6
5.1,6.86695924048851,-0.04093726585382462,4.881748662110669,19.0,-0.010714913051115271,0.7059391777666315,2015-08-02 00:00:00,-0.18477760871872906,282.61
5.1,6.606807713101611,-0.04014536562170967,3.3759191341052706,17.72,0.003586647727272796,0.7174670013766297,2015-08-03 00:00:00,-0.18867119439604607,281.23
5.1,6.560277192475139,-0.02886840015193881,2.6770636899441316,21.47,-0.004883054385902863,0.8822683377850832,2015-08-04 00:00:00,-0.2620082743145642,285.22
5.1,6.549083885311467,-0.008689003197553169,1.7942045591339277,21.91,0.014187675568040348,0.9107914865314266,2015-08-05 00:00:00,-0.21381438910174533,281.88
5.1,6.446728586941475,-0.009731248902160483,1.5982396566274735,20.13,-0.01171025874763354,0.8911614317019722,2015-08-06 00:00:00,-0.1893531481082632,278.58
5.1,6.4783798128856445,-0.010724431818181945,2.3978177578824647,18.79,-0.01170710940825892,0.8483644490597556,2015-08-07 00:00:00,-0.1960440660991486,279.58
5.1,6.236359662664548,-0.010721488977743276,2.5526691912616184,42.48,0.0035896331394931202,1.845913179507235,2015-08-08 00:00:00,-0.11340996168582373,261.0
5.1,7.75292481312047,-0.07193400419585394,9.436870243889894,58.53,-0.06645682809929176,2.3251102371588606,2015-08-09 00:00:00,-0.13316734570695632,265.08
5.1,8.695443210761793,-0.07061215903513096,9.483706026655014,23.79,0.015632183908045993,0.943037222024022,2015-08-10 00:00:00,-0.1350247665141605,264.47
5.1,9.47489647214676,-0.06176387115084425,8.672474848623722,20.98,-0.002301192092952875,0.8348753457092262,2015-08-11 00:00:00,-0.14915492436850475,270.39
5.1,9.763922461905857,-0.029399095412448895,7.241231248897559,25.43,0.022384391424357997,0.9999410180288225,2015-08-12 00:00:00,-0.14362940160672721,266.38
5.1,10.267584915646157,-0.04721367765934614,3.397326890366811,26.82,-0.014830430119457061,1.0376847481235005,2015-08-13 00:00:00,-0.13177824901544977,264.08
5.1,10.764177187612647,0.011800766283524888,2.5621377792791935,27.69,-0.008634281852991976,1.0914250803098087,2015-08-14 00:00:00,-0.1449111713339356,265.68
5.1,10.977000069523578,0.002263467632412919,2.517250484161191,27.09,0.006058770069675923,1.0544138253152733,2015-08-15 00:00:00,-0.11948002294016435,261.55
5.1,11.069997908049286,-0.011040949824176693,3.2507891349654705,19.32,-0.015545016561276714,0.7472008972598766,2015-08-16 00:00:00,-0.09086689102936052,258.51
5.1,11.07404517685171,-0.04393653611450121,3.230626874154441,29.72,-0.011623016631619243,1.151357842947352,2015-08-17 00:00:00,-0.0703155283355299,257.98
5.1,10.739006079658992,-0.031533898941361826,3.37060083664744,21.62,-0.0020502108235657124,0.8438225708877309,2015-08-18 00:00:00,0.13629903354178508,211.08
5.1,17.018483535324503,-0.2006967585580126,22.502909811844436,42.15,-0.18179703853011864,1.5908361797286332,2015-08-19 00:00:00,0.07468678313040411,226.68
5.1,18.937266038158892,-0.1467931345980127,22.881017241372856,60.87,0.07390562819783963,2.1390167621323397,2015-08-20 00:00:00,0.011982154238368459,235.35
5.1,19.63406043615362,-0.10017205123303385,20.49194841883026,32.28,0.03824775013234505,1.1173609789023695,2015-08-21 00:00:00,0.025411704003095892,232.57
5.1,20.361304761211997,-0.10034428068546675,16.954184439246802,23.17,-0.011812194603781578,0.7962746580520997,2015-08-22 00:00:00,0.0421893311341639,230.39
5.1,20.85337695737367,-0.1069462749050315,9.559802822234158,23.21,-0.009373521950380548,0.7901949102051238,2015-08-23 00:00:00,0.030941841609326337,228.17
5.1,21.23259805111018,0.08096456319878698,3.455201875433258,18.41,-0.009635834888667039,0.63005869368059,2015-08-24 00:00:00,0.09511140671765861,210.49
5.1,22.405696520727844,-0.07142226927827777,9.815960472617865,59.22,-0.07748608493666997,1.9050989223097956,2015-08-25 00:00:00,0.04074725869771201,221.61
5.1,22.298230493873362,-0.058381134480560815,8.913634500022727,61.09,0.05282911302199622,1.8437811245585976,2015-08-26 00:00:00,0.01979365009077627,225.83
5.1,21.789061059213058,-0.028980521993378305,7.863492862589438,31.81,0.019042461982762493,0.9415699739521665,2015-08-27 00:00:00,0.0192196467500112,224.77
5.1,20.882950260414773,-0.02439341985329213,6.944269580020261,21.91,-0.004693796218394386,0.6688953000259499,2015-08-28 00:00:00,-0.006871218668971446,231.4
5.1,20.67022295095328,0.014156111671122407,7.745514831177782,31.34,0.029496818970503158,0.9982163332908649,2015-08-29 00:00:00,0.013926364348507247,229.78
5.1,20.152348067448365,0.09164330847071112,3.9358569587824084,17.14,-0.007000864304235077,0.5517729811515123,2015-08-30 00:00:00,0.011933904528763861,228.76
